Canal,Total_de_visualizacoes
JO1,1810523
"Most Valuable Promotions",1806523
Valouzz,1798254
カンテレ競馬【公式】,1796250
"TRT на русском",1796183
"VSPORTS - Liga Portugal",1793613
"Live Speedy",1792876
RMCSport,1790668
ShuffleGamer,1786895
"Daria Graph",1786377
"Dragon Docx",1775466
"Grupo Frontera",1772268
"The Film Theorists",1771441
ФОРСАЖ,1770093
突然ですが占ってもいいですか?【公式】,1765837
なかよしだいかぞく,1761789
"ASMR FOOD",1760610
としみつ東海オンエアの,1760374
РЫНДЫЧ,1759518
Keblack,1758850
Solek,1758675
"KREED FAMILY",1758585
"KITAYSKAYA ZMEYKA",1756474
"Manim ",1755210
"ABC News",1751400
"hololive ホロライブ - VTuber Group",1751379
FREESTYLEBENDER,1750151
"Vitória MineBlox",1748122
CLARÍN,1738845
"Jonny Devaney",1735807
"DukeDennis LIVE",1732946
"Trek Trendy",1729833
"MUSIC STATION",1728151
"NBA on ESPN",1725775
Cinemassacre,1725496
"Ice Cream Sandwich",1724184
"Matsuri Channel 夏色まつり",1719834
"NEWS.BY: новости Беларуси и мира",1718958
Galkina_Anechka,1714771
"TOKYO MX NEWS",1711797
30PRAUM,1710334
"Jhay P",1708470
"La Fouine",1706023
Редакция,1705345
"stunning max",1704407
DJSnakeVEVO,1704370
横浜DeNAベイスターズ公式チャンネル,1703591
aCookieGod,1701651
"SEALOOK Official",1698550
MAZZEL,1693227
"Настоящее Время. Сюжеты",1691882
RDCworld1,1690668
"LIGA BBVA MX",1687530
パワプロ・プロスピ公式チャンネル,1686921
"Stray Kids",1682486
ジャンプチャンネル,1682081
"Информационное агентство БелТА",1678461
BeeleVEVO,1674279
"TheSoul Music Flow",1672112
NASASpaceflight,1661349
JOLLY,1659281
"テレ東公式 TV TOKYO",1657451
EminemVEVO,1653288
"By Pamella",1650566
"Asian Cricket Council",1648085
"Rauw Alejandro - Topic",1648028
"NBA Brasil",1647562
"Big Sean",1643899
"DA Uzi",1639870
"Ryan Oliveira",1638823
SPOTVNEWS,1636871
KINOFABRIKA,1636812
"Ricardo Molina USA",1629259
"Boston Dynamics",1628639
MasterBuilders,1627089
ВЛАДУС,1626203
"Quando Rondo",1624536
"HMZ Officiel",1624356
PointCrow,1623267
"TyC Sports",1619792
"LoL Esports",1619536
マリマリマリー,1617090
SypherPK,1615058
Gurky,1614498
"Zoe Sugg",1613324
"ESPN MMA",1613132
中川家チャンネル,1612830
VALORANT,1611768
"シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】",1611729
"Chihaya Ch. 輪堂 千速 - FLOW GLOW",1611179
"櫻坂46 OFFICIAL YouTube CHANNEL",1610992
"Tennis TV",1607600
"Dr Nozman",1602109
"Henry Tran",1600976
"Royal Court",1596074
"ВОТ ТАК",1594912
"阿木爷爷 Grandpa Amu",1594782
ISS,1589966
"Royalty Gaming",1587877
Mechanic,1586978
"Sky News",1578068
激情ひとり,1572415
"Hoovies Garage",1571295
"SnakeThug - Brawl Stars",1566915
ØMI,1565927
すしらーめん《りく》,1562462
"Alec Steele",1561291
"В гостях у Гордона",1559493
"Mirjon Ashrapov",1558896
"Jeremy Jahns",1558759
"Storm Labels Official",1556491
"Алексей Шевцов",1556192
"Justin Trudeau",1554015
"TBS NEWS DIG Powered by JNN",1553096
"キタニタツヤ / Tatsuya Kitani",1551446
CboysTV,1550786
CarynandConnieGaming,1543453
スカイピース,1542389
"Jomboy Media",1541730
Jungeli,1541003
ME:I,1539821
"CG Speak",1536890
ITZY,1535041
フジテレビ公式,1534415
"ONE OK ROCK",1534021
"あみちゃんねる / 菊地亜美",1530480
jschlattLIVE,1523721
LEGEND,1521561
CNBC,1517700
"Breaking Benjamin",1516934
"Joueur Du Grenier",1516621
"Nino Paid",1516615
"Byilhan Live",1515798
"Jesse James West",1515718
"Julia MineGirl",1515434
ЯНГЕР,1515272
"Автосалон Синдиката",1515151
SeikinTV,1515047
すしらーめん《にく》←2nd,1514557
"Payton Delu",1511098
MandJTV,1507936
Tfue,1504075
OM,1503932
みつともチャンネル,1503329
LiaqN【りあん】,1502611
"TG Plays",1498143
"Nikita Zdradovskiy",1497805
FutureVEVO,1497354
"Baseball Doesn't Exist",1496286
ひなた,1493349
"The Wall Street Journal",1491106
"Mundo Torajo",1488914
"Throttle House",1485788
"Дима Гордей",1484096
ジュニアCHANNEL,1480725
Nait,1479992
Flamingo,1477007
CapcomChannel,1475861
"Бэтси Girl",1473414
"timelesz [タイムレス]",1472717
"Министерство Правды",1472457
"Renan Fiorini",1468410
"Esporte na Band",1467823
"Brenner Mariano",1467574
"Real Madrid",1467470
"Premier Boxing Champions",1465424
"Eduardo Costa",1464762
wolfalberto,1463380
"Viki Show",1462246
"Ильдар Live",1456554
"Léo Foguete 🚀",1454938
"Void Cauan",1454230
TheMacLife,1452799
"Chogakusei Official",1452488
"Звезды и интриги",1450153
BrandonLakeVEVO,1448733
NAZA,1444075
"あかでみっくなカレッジ　旧 -Academic Motor College-",1442095
Quiff,1439155
"Damso - Topic",1434463
李家everyday,1433621
"元野良猫チャチャとR me",1432325
"The Try Guys",1428678
НИКИТОС,1427991
"Double Bubble",1427782
"Maxime Biaggi",1424608
Geleia,1424095
"UFC Eurasia",1421233
"Swati Monga",1421014
"YangiKulgu Official",1420733
Romancev768,1419610
"ДЕРЖИ ДВЕРЬ",1414571
動画、はじめてみました【テレビ朝日公式】,1414464
"Mythical Kitchen",1409892
PlayHard,1409644
"CGP Grey",1407528
"KIRILL SARYCHEV",1406489
"Bass fishing Productions",1404463
BRISxLIFE,1403253
"Тачка под задачку",1401613
"Aぇ! group",1394600
"Grind Hard Plumbing Co",1394144
"NFL on ESPN",1391911
"Balanço Geral",1391681
酒桜,1391476
"Top Rank Boxing",1390369
YOVNGCHIMI,1390338
"É o Vini",1388176
"FOX 61",1387240
ShortCircuit,1386181
"ESN Media - The Bridge",1385094
"Trev and Chels",1382727
"Максим Шелков",1382171
NOBRU,1380178
"W Magazine",1378750
"Sidiki Diabate",1378682
"Cool Tool SHORTS Arabic",1375084
Fischer's-ゲームズ-,1373076
Apuh,1372972
Hometalk,1370983
"24 Канал",1368256
ABEMAニュース【公式】,1363374
"beIN SPORTS Türkiye",1362279
B20baOfficiel,1362106
"Les Do Makeup",1360467
"NRL - National Rugby League",1360147
апвоут,1359505
"Mikhail Boldurev",1357971
ZAFEEL,1353277
"伊波ライ / Inami Rai【にじさんじ】",1352838
nectar,1352216
闇金ウシジマくん【公式】,1351644
"Фани Хани",1350960
"Brian Sutterer MD",1348773
IKITERU【イキテル】,1348534
"HI! 小兜兜",1347727
"TUDN México",1346502
"DRAMATIC BASEBALL 2024",1345422
"Ulusal Kanal",1342184
"Vivi Ch. 綺々羅々ヴィヴィ - FLOW GLOW",1340665
CrunchLabs,1340505
sndk,1338530
"The Overlap",1336326
"PAIX PER MIL",1332568
"a bit more willne",1327290
かす,1325959
なにわ男子,1325263
PlayStation,1321824
KanyeWestVEVO,1320278
MrDalekJD,1310743
"Асафьев Стас",1306110
Appel,1301307
"Bright Sun Travels",1299640
STVニュース北海道,1299639
LCI,1299340
"MC Poze do Rodo",1298668
"榊ネス / Sakaki Ness【にじさんじ】",1297341
Dinzo,1297283
"Diggy Graves",1295653
"Camila Loures",1286257
"Sr Pelo",1282456
HikakinGames,1281554
"Naokiman 2nd Channel",1280046
Sheshounet,1277608
【推しの子】ドラマ&映画公式,1275251
Разгон,1275162
"Euphoric Brothers",1274411
Underscore_,1273885
"The United Stand",1271529
"High Side",1269541
"TOMORROW X TOGETHER - Topic",1269233
"Elena Bogdanovich",1268199
"MC Cebezinho - Topic",1267005
StanceWorks,1266767
"Dr. Plants Brasil",1265304
"Montreux Comedy",1257878
"CBS Evening News",1256509
"Inoxtag 2.0",1255403
"Parole de chat",1252779
ThreeDaysGraceVEVO,1251833
"Korporate Bidness",1249152
"Valera Ghosther",1248565
"Luísa Sonza",1247279
"Doge Gaming",1247135
"KCAL News",1246618
"Law&Crime Trials",1246351
ZAMination,1245419
"Football Australia",1244610
KeniaOSVEVO,1237363
GMK,1233800
"The King’s Guards Channel (fan account)",1232960
"PFL MMA",1228033
ScrapLifeLee,1226084
"Анна Ханна",1222678
ENHYPEN,1221680
QuizKnock,1220972
"Scott Manley",1219382
Gigguk,1219318
Beyoncé,1218169
"Promo Influ",1216358
FEURIPE,1215464
CBLOL,1215436
"Netflix France",1215260
"Seu Desejo",1214892
Крамола,1214010
Brubs,1212444
AminematueLive,1212058
"NBC Sports",1205404
ChappellRoanVEVO,1202740
"Юрий ВЕЛИКИЙ",1201055
BamaBass,1200260
HOOOTDOGS,1200154
"Nintendo Mobile",1199696
"Jake Webber",1198963
"ESL Dota 2",1198787
"Dua Lipa",1197056
"Amado Batista",1194228
"Bedjine officiel",1193481
Louaista,1192962
エミリンチャンネル,1192282
"SBT News",1189424
"Радио Свобода. Новости",1189381
ガンダムチャンネル,1187464
Ghoulz,1186529
"Donald J Trump",1185880
"Pitch Meeting",1182931
"Les Vidéos de Riles",1182757
"NIKITA EFREMOV",1180340
"Jane Kravitz",1178502
"Gummy Dora",1178330
"AfinArte Music",1178130
"Popcorned Planet",1177896
カンテレNEWS,1170354
"Кухня наизнанку",1167730
Micode,1167120
"emma chamberlain",1166782
"Политика сегодня  -  DENIX-INFO",1166076
PM7,1165861
"プロ野球 ドラフトちゃんねる",1165816
"La Perversa",1164933
thegameawards,1162055
"Jorge Rivera-Herrans",1158339
"Josh Johnson",1156385
tuki.(15),1155684
Burback,1155020
"Chico Garcia",1154163
貴ちゃんねるず,1152229
"バンカラジオ / Bankaradio",1150226
Дюшес,1149241
Cut,1148132
Nicocapone,1147826
"PRESS SBU",1147121
"長尾 景 / Nagao Kei【にじさんじ】",1146366
Коммент.Шоу,1145930
社築,1143435
CANAL+,1141478
ぽんぽこちゃんねる,1140072
"B N S",1137293
崩壊：スターレイル,1135595
"中野優作 / 人生に愛車を。",1135556
"Mogul Mail",1133630
"Бог есть!",1133398
Cadres,1132303
"Canal GB",1125388
"sir yacht",1124370
"А поговорить?",1121506
"Lynda - Topic",1119998
"Mike Horn",1116744
"Chelsea Football Club",1114568
ぽへチャンネル,1114284
ロードシルク,1111663
【公式】そこまで言って委員会NP,1110899
Rsko,1110328
Sylvqin,1108287
"Simple Creative",1107565
"Isamara Amâncio",1104868
"TOKYO MX",1104242
"Cowboys Fan Club",1104191
"Polo G",1103791
Wifies,1099653
"My Chemical Romance",1098947
mrnigelng,1097434
ちーとん。,1097399
"M.D. L.R",1095589
"Trixie Mattel",1094491
"Avatar World®",1092425
料理研究家リュウジのバズレシピ,1091955
"HFC MMA",1091608
"Елена Райтман",1089502
Alok,1087149
angryginge13,1086373
"MowMow Officiel",1085300
BigTime,1082566
Acelerados,1082308
Evanimas,1082255
"ABEMA 格闘【公式】",1081707
マフィア梶田と中村悠一の「わしゃがなTV」,1079437
"CANAL+ Sport Afrique",1077101
"Виталий Оpехов",1074079
Eve,1073560
ExileLive,1071517
あんスタチャンネル,1070174
"Hytalo Santos",1069398
"Manual do Mundo",1068400
"Тимофей Кармацкий",1067797
"Smells Like GASOLINE",1067065
フブキCh。白上フブキ,1067056
"Kodak Black",1062295
"KahoSei Channel from Canada",1061189
"福岡TNC ニュース",1060255
"Tev - Ici Japon",1060130
RickRossVEVO,1059656
"팀일루션 노성율",1057542
BENOFTHEWEEK,1057000
"YOAKE FILM",1054819
DORETDEPLATINE,1054731
DaBaby,1053324
"Got Talent Global",1050117
"Mickey Views",1047716
"Robin Hood Gamer",1046075
MotoGP,1045510
"Matt Kempke",1044849
りせとルイス,1041105
"Sony Music (Japan)",1037611
"くっきー ! の引田くっきー !",1036362
JADEVEVO,1035647
CelineDionVEVO,1035617
日本野球機構(NPB)公式チャンネル,1035489
"SHINGO KATORI",1034260
スクウェア・エニックス,1034147
МишАня,1032501
MichouOff,1030975
AugustTheDuck,1029437
"Chad Wild Clay",1029341
"UOL Esporte",1028456
"Still Watching Netflix",1028073
"Jorge & Mateus - Topic",1025851
MandaloreGaming,1025756
whinderssonnunes,1025172
"Lil Durk",1024947
Кузьма,1024622
sotavision,1023911
"Sarvinoz Ruziyeva",1022691
SidemenReacts,1022477
"Kevin's English Room / 掛山ケビ志郎",1020931
"Engineering Explained",1018527
"Ryan Reynolds",1017476
"雪肌精 公式チャンネル",1016854
"Czn Burak",1016512
"Warner Bros. France",1014013
Fanatiz,1013362
レトルト,1013026
"Romain Molina",1012990
まいぜんシスターズ,1010263
ろびん,1008805
アイドルマスターチャンネル,1008211
"Malik Bentalha",1005753
"Алексей Столяров",1005659
ASG,1005540
"Дюшес Team",1004090
"Optus Sport",1002414
Hassan,1001503
"Val Lienard",1001369
"Hit the Road",1001107
"CGTN на русском",1000534
"Светлый Voice",999541
"Jay Foreman",999238
"The Chosen",999154
"安保瑠輝也 Rukiya Anpo",998894
"18号 -Juhachigo-",998333
"Lorrayne Oliveira",997713
Bionic,997162
Ozodivideo,995039
あさひ。,995030
WIRED,994001
"EMOTION Label Channel",993839
"Half-Asleep Chris",993171
"Todah Music",991398
"Corinthians TV",989462
"Embrulha Pra Viagem",988985
"Detroit Lions",987797
"Bruna Constantino",987100
"British Vogue",986198
"Bandai Namco Entertainment",985729
"Diva Depressão ",984435
"Nastia Rizik",983133
"The Fellas",980765
-ТАЁЖНЫЙ-,980412
"Prime Video Brasil",979738
"Universal Pictures France",978015
"Pitch Addict",977716
LankyBox,977702
"Алиса Лисова",977650
"Squad Busters",976423
"堀江貴文 ホリエモン",975760
"Duke Dennis",975119
"Voitures & Ingénierie",973953
からすまAチャンネル,973901
"FOX 13 Seattle",972836
かまいたちチャンネル,972475
"KBS Kpop",971928
"Yanina Sokolova",970171
"Россия 90х",969543
"叢雲カゲツ / Murakumo Kagetsu【にじさんじ】",969023
なこなこチャンネル,967891
"MMA review",966277
"Josiah Schneider",964555
itsDigBar,964137
"ТНТ4 Shorts",963752
MGKVEVO,961212
"Bouss Officiel",960906
"Amy Scarlet",960727
"Funny Parent-Child Videos",959740
Premfn,958212
"Лучшие вечерние шоу",957524
"Daz Games",954923
"Jack Pembrook",953063
MaxCraft,953009
"BBC News Brasil",952935
NexTaz,952400
"Dungeon Soup",952024
"Love Music ",949467
Hoshi,949369
juliendoreVEVO,947482
"Coisa de Nerd",947458
"FaZe Jev",946340
"Angela Pearl",942850
Socksfor1,942595
"Priscila Senna",941008
"MAX ПОЯСНИТ",940050
"戌亥とこ -Inui Toko-",940017
CidadeAlertaRecord,939770
"Apex Legends",939621
"Bappa Shota",937966
Meeponegeroi,937406
TerminalMontage,936652
ぱかチューブっ!,936564
さしはらちゃんねる,933531
GIMS,932760
ZAKATOON,932501
Arsenal,932338
"Kara and Nate",931500
"The Fat Electrician",930752
ЧЕРНЕЦ,930539
フレン・E・ルスタリオ,930533
Познаватель,929242
"Stan Sport",928821
"Kendrick Lamar - Topic",928390
"MBS NEWS",926153
"Bazar du Grenier",926148
平成【裏】ミンゴ,924459
"Evan and Katelyn",924406
Nerdforge,919650
"Adeline Camargo",917632
"beIN SPORTS Australia",914493
"Himra officiel",914276
"Serge Beynaud",911514
Ninjaxx,910738
SBT,908805
"Politeka Online",906976
SMii7Yplays,906852
"ENHYPEN - Topic",906653
Maxedy,905558
JonTronShow,904089
"ITZY - Topic",901906
OneTwo,901290
"Nick Eh 30",900253
"Jay Leno's Garage",898453
"KENZO 【新宿109】",896049
"The Kelly Clarkson Show",893707
"Kevin Tran L'Empereur",892473
Calfreezy,891561
"Zac Builds",890143
"AC Milan",888500
mashed,887170
"Robson Abreu",887147
"Undecided with Matt Ferrell",887126
ClownPierce,882590
だんスキ,882464
"Chi Lochii",881853
Marblr,881743
aespa,881324
"K Tech",880088
"Дикий бой",879355
"João Bosco e Gabriel",878789
"ВПИСКА LIVE",878718
Rちゃん,874439
KURUCHBRO,873074
"高木 豊 Takagi Yutaka",872747
TheAMaazing,872621
"Riona Ch. 響咲リオナ - FLOW GLOW",872226
超ときめき♡宣伝部サブチャンネル,871425
"Leah Kateb",871380
Engineezy,870344
VOLTACTION,870317
"Virgínia Fonseca",870175
"AFP News Agency",867329
たぁちゃんネル/杉浦太陽,866264
"TV Palmeiras/FAM",865770
Thinkerview,865549
WWLTV,865497
"The Slow Mo Guys",864137
"Zazou de Crecy",862283
"YTB Fatt ",861795
СТС,861093
CNN,860610
"Coisa Nossa",860493
uncarley,860296
MMAWeekly.com,858782
"Edgar Lebedkin",856446
"Emma Graziano",854634
"Oliver Anthony Music",854022
"Mundo da Vivi",849901
Кирюнчик,849364
"Happy Wolf",849188
AkStar,846981
Kitawari,846551
テオくんホーム,845671
"Dragon Age",845049
"星導ショウ / Hoshirube Sho【にじさんじ】",844769
"Eu você e nós",842647
ブラーボりょうのボンサバドゥ!チャンネル,842257
"EpicSkillshot - LoL VOD Library",842135
"Красная Линия",841576
"Marvel Rivals",840602
Thoughty2,840566
Yoll,840245
仲里依紗です。,837935
"Алексей Гончаренко",836935
槙野智章の俺じゃけん,835621
日テレ公式チャンネル,835253
"Avaz Oxun",834190
ハマちゃんとコージのお上手です,834056
"漆ちゃんfamily ",830779
"Hugo e Guilherme",827288
"Melhor Futebol do Mundo - TNT Sports Brasil",826191
"【公式】ドラえもん / 藤子・F・不二雄チャンネル",826013
"TIE Ru",824836
"Чикен Карри",824287
Antoine,822349
"三崎優太 MISAKI",821205
"Dani Nobrega",821054
"Luan Santana - Topic",819464
町田ちま【にじさんじ】,819433
ヘラヘラ三銃士,818798
東宝MOVIEチャンネル,816591
"Momoka Japan",815756
"【公式】Fate/Grand Order チャンネル",815529
"Woodkid - Topic",815355
ARTE,814322
"International Tennis Federation",813234
FREITAS,812598
"Million Jamoasi ™",812071
"Mastu Gear 2",810974
"Lucy Edwards",810223
"Plan Bri Uncut",808380
"Bitelo natural ",807057
L'invité,806513
のばまんゲームス,806359
chip,805526
ラムダ技術部,805307
あまり驚かないガッチマンはホラーゲームばかりやっている,805073
"Pekora Ch. 兎田ぺこら",802898
Delacruz,802514
LGR,801571
"BOLO HOUSE MUSIC",800416
"2 Much ColinFurze",799971
"Bruno Garcia YT",798831
TBS陸上ちゃんねる【公式】,797857
"Всё из за Метало Копа",797730
"The Sketch Real",797396
"中田敦彦のYouTube大学 - NAKATA UNIVERSITY",796779
Bz,795779
"Zach Bryan",795277
"CBS Sports Golazo - Europe",795191
"Менеджер Антон",794728
"Каныбек Кудайбердиев",794451
MUZLOFT,793066
初星学園,791394
VEIGH,791105
ACG,789042
McCreamy,788489
"Виктория Ким",786075
"Aline Dessine",785752
Anyaischuk,785061
"MK MUSIC",784304
"Grupo Kamisa 10",784281
ESTGeeVEVO,783531
"The B3",782993
"Farine de blé",782739
破天荒夫婦～嫁が破天荒過ぎて愛しい～,782560
GOOBERS,782277
"Jogo Aberto",781780
まじめにヤバシティ,780149
不動産Gメン滝島,780002
Dave2D,779341
Darko,778669
"Léo Duff",775459
"Comics Explained",774676
"Sur Ronster",774277
"Wankil Studio - Laink et Terracid",773263
"Adam LZ",770380
"Katya Klon",768984
原神-Genshin-公式,768765
TheGideonGames,767870
"Tz da Coronel",765345
Shane2,764972
"PIVOT 公式チャンネル",764685
"Deep Pocket Monster",764243
"team Sanchez ",764131
OfflineTV,763772
Factorio,763308
ABC7,757895
"Domi & Yani",757578
"Super Italiano",757338
"Максим Шевченко",756736
L2B,756288
テレ東BIZ,755947
"Casa Vogue Brasil",755350
"カリスマ Official Channel",755289
Renju,755012
"Subaru Ch. 大空スバル",754532
"FULL SEND MMA",754307
ЛЕСНЫЕ,753755
Multishow,752518
"Overly Sarcastic Productions",751793
Nightcap,751134
AM3NlC,750175
"Whiteout Survival",749747
"Caike Pro",749730
"TUDN USA",748319
えなぴ,748177
キングオブコント,748031
"楽待 RAKUMACHI",746175
"Real Engineering",745117
FilmsActu,744415
"G Herbo",743869
"Gavin Magnus",742365
"Crazy Raccoon",741868
fantano,740814
"Nicki Minaj",739160
KITAYKA,736297
"David Freiburger",735698
"Олег Зубков - ЧЕЛОВЕК ЛЕВ Oleg Zubkov - LION MAN (Я и мои львы Тайган)",734361
Humbled,733974
"TNZ Gaming",733555
"Big Wedge Golf",732588
脱・税理士スガワラくん,732482
"Matt's Off Road Recovery",730968
"マー君チャンネル 田中将大",730965
"Телеканал ICTV",730728
"Sylvain Lyve",730407
Samcrac,729160
"Home Of Games",728269
OBOY,727261
DakPlay,725192
TanqR,724613
"Matheus Fernandes - Topic",722036
"Yungeen Ace",720637
"Hiromi factory チャンネル",720018
MrMattyPlays,718425
Neoxi,716819
"Mcfly et Carlito la chaîne secondaire",716771
"ヤン・ナリ / Yang Nari 【にじさんじ】",715328
Tays,715158
Макарена,714379
U-NEXT格闘技公式,714137
"Aston Villa Football Club",713729
FLAZOEIRO,708995
Firelight,706598
"Safe Zone",704578
"Só Por Causa",704556
Simplistic,703928
Timoute,703417
"adam zubayraev",703186
"Sarahs Day",701746
"Mirzo teatr",700452
УНІАН,699280
"Standoff 2",698914
"Talk Tv Azerbaijan",698715
BRKsEDU,697897
kesha,696825
銀魂チャンネル【公式】,696340
KAED,695607
BrainPilot,695343
"LUIZ DO SOM",694142
DanTDM,694100
"Peco Channel",693701
Warhammer,693375
"Sky Sports News",692254
"A Fazenda",690812
"Entertainment Weekly",690721
きりまる,690214
"Супер Стас",690101
"Miko Ch. さくらみこ",690084
"ブルーアーカイブ-Blue Archive-",689789
Booska-P,688472
Gomu,688011
Sticks,687333
"Дмитрий Гордон",685795
"DNVR Sports",685203
"FOX SPORTS AUSTRALIA",684856
HTB北海道スポーツ,684677
GinoMachino,684593
"The Graham Norton Show",683792
KEIJU,683164
"JIN - Topic",682459
"MC Kako",681265
"Gibi ASMR",680594
"風楽奏斗 / Fura Kanato ",680555
小豆島の漁師はまゆう,679698
Dinos,679359
牛沢,677879
文野環【にじさんじの野良猫】ふみのたまき,677246
"東堂コハク/ Todo Kohaku [にじさんじ]",677005
TheKidLAROIVEVO,676693
"LA HASBA22",676299
"Kountry Wayne",676271
"Pierre Croce",675853
"Sony Pictures Entertainment",675301
斎藤裕,674773
"COMÉDIA SELVAGEM",674596
"gabi belle",673539
g1,672696
"Jin and Hattie",672608
СПЕКТР,671803
"República Coisa de Nerd",671344
"KairosTime Gaming",670930
"Hora do Faro",670364
"Mohamed Henni",670100
"Garena Free Fire Brasil",669469
2XKO,668988
Tomorrowland,668976
"Risha Kuznetsova ",667890
Balian,667671
BETNetworks,665880
"Jacob Geller",663543
"Phil Mickelson and the HyFlyers",663261
"The Rest Is Football",663099
"くれいじーまぐねっと CrazyMagnet",661884
Ленинград,661866
Goobus,658074
"Guilherme Silva Oficial",657830
Branzy,657413
TesiveGames,657115
Sora,655291
"Tom Aspinall Official",654635
"Радіо Свобода",652583
"Doodie Lo",651285
"Склад Телякова",651158
ねこくん,649839
FilmsHD,649353
"Алёна, блин!",646513
Podpah,646308
"Viver na América",646122
X2DED,645544
Kombo,645322
Eddsworld,644956
"The Sims",644857
"New Rockstars",643405
"The Last Bacon",643189
"Spaceboy Shorts",643128
"GSC Game World",642924
itpedia,642240
"Better Voice",641217
beerpup,640804
"Shera ",640502
gattu,640499
"Dustin Hadley",640424
easycom,640306
Hagerty,637461
"粗品 Official Channel",637245
"Willibed Reacts",635471
"AuRuM TV",635359
中町純平のマジ酔ってるわ!!,633675
"ミラン・ケストレル / Milan Kestrel 【にじさんじ】",633421
"gaelle garcia diaz",633156
Aminematue,633144
Gelado,632369
"Misfit Minds",632087
"RB Leipzig",631678
"Vice Grip Lodge",628747
PontiacMadeDDG,627936
重盛さと美,627530
"KCON official",627008
МАШИНАТОРЫ,626574
えなちゃんねる,624159
"Sir Gibsy",623741
EazySpeezy,622583
あいみょん,622546
ДАНИК,622530
"Fresh LaDouille",621702
GonGon,618623
"Sam and Colby Reacts",617188
さおりンち,616730
"Fuze III",616644
"thierry vigneau Boiserie",615410
フォーエイト48,614637
"Cadê a chave?",613653
Neoxouille,613616
"Luiza Martins ",613406
"TOBE OFFICIAL",612009
"Арсений Бардаш",611974
しゃーぺん,611488
"Good Enough",611353
上原浩治の雑談魂,610835
"Егор Крид",610297
"France tv sport",609808
"DH Animation RUS",609495
Dobryak,609016
Blarod,608970
"Briana Gigante",608608
Lazvell,608112
"Pro жизнь",607331
"ПРИЯТНЫЙ ИЛЬДАР",606727
"Bloomberg Quicktake",606488
"Destiny 2",605811
"SKITS FAM TV",605673
"Wiris Viana",604457
VonOff1700,604053
Groland,603976
"エマスちゃんねる / EMAS CHANNEL",603255
illymation,602067
"CHÁCARA COMÉDIA SELVAGEM",600316
"ISK Officiel",599525
Ferrari,598296
"TROPA DO BRUXO",598031
"Babalwa M",595724
"Дмитрий Шилов",595529
"USA TODAY",595521
"Dylan Is In Trouble",595067
オタク会計士ch【山田真哉】少しだけお金で得する,594837
"War Thunder. Official channel.",593992
LABELSMART,593967
"Eu Hipe",593631
"Jake Carlini",593544
"阪神タイガース 公式",593383
らリリ、るれろ,592312
"TNT Sports Boxing",592077
ItsMeYellow,591574
"Trash Bandicoot",590586
oShven,590406
"Lukas Agustinho",590320
"Sundae Conversation",589929
"東京03 Official YouTube Channel",588325
Watcher,588161
Batatinha,587119
"ESPOIR TRIBE-エスポワール•トライブ-",584174
【V.I.P】,582927
"The Spiffing Brit",582178
firsttouchgames,581735
七次元生徒会,581508
"The Pain Game",581292
"Claudio Capéo",580993
Jove,580811
"FC Bayern München",580656
"More Perfect Union",580488
"Elite Cameraman",580029
"Casal WK",579182
L'Arc〜en〜Ciel,578413
"FOX 5 Atlanta",578089
"Dr. Yaro - Topic",575877
Açúcar,575782
"Poisson Fécond",575463
DailyDrivenExotics,575434
FriendlyMachine,574201
"Schaffrillas Productions",573202
"プリンセス姫スイートＴＶ Princess Hime Suite TV",572911
"Gomer Simpson ",571958
"Supergiant Games",568372
"NIKO & STEPH",568165
日向坂ちゃんねる,567838
"ÉЖИ АКСЁНОВ ",567790
"Gloria Groove",566026
"Сила Слова",565686
"L' AntreDuMaître",564344
"カジサック KAJISAC",564164
Carbonne,564097
"Lena retournement de Situations",563627
Broke,563600
"Ethan Nestor",562728
"Sae Channel / 紗栄子Official",562318
"Johnnie Guilbert",562303
"Mhd Officiel",562149
CBS,561065
"Dany Ku",561009
Skyrroz,559846
"Invento na Hora",559656
めざまし8チャンネル,559559
IShow,558865
"Joseph's Farm Design",556778
"Marine LB",556728
"Ми - Україна",556275
"Яковлев Миша",556098
"Лиса Рулит",555555
Cash,555219
"森ケの日常 -Gag Life Family -",554246
"Mac Miller",554011
"BBC News - Русская служба",553095
さまぁ〜ずチャンネル,552682
"PURPLE KISS",552491
"Star Academy - Topic",552303
Blogueirinha,551468
"Bloodhound Q50",551229
アサヒグループ公式チャンネル,550943
RedFalcon,550639
一ノ瀬うるは,550393
LTブログ,549163
"Морковь PRO",548949
"YOLO HOUSE",548274
"Scott The Woz",548261
"Gazo - Topic",545294
AMK,544850
ゆっくりK,544782
"Pabllo Vittar",543034
"CENTTWINZ TV",542329
ドラゴンクエストウォーク公式,541654
"杏/anne TOKYO",541150
Anitta,541051
TheKateClapp,540065
"9 News Australia",539999
"Stervio 3.0",538719
GAMINGbible,538342
Димасблог,537385
ZeeMan,537315
"IZALICK ",534581
MATH,534235
4GamerSP,534011
Rhymestyle,533887
パパラピーズ,533147
courtreezy,533119
"Inside Fighting",533049
"KENT for 任天堂ゲームレビュー",532483
"Steve Wallis",532477
"Irmãos Dias Podcast",532323
"Fengjie Family Joke",531847
魔裟斗チャンネル,530805
"Mrs.GREEN APPLE - Topic",530459
日刊スポーツ野球チャンネル,529824
"Viih Tube",529586
"Tibi Jones",528686
КХЛ,528555
Las,528365
Tamburini's,528314
